stop_id,composite_gtfs_stops_id
R01,R01
R03,R03
R04,R04
R05,R05
R06,R06
R08,R08
R13,R13
R14,R14
R15,R15
R18,R18
R19,R19
R21,R21
R22,R22
R24,R24
R26,R26
R30,R30
R32,R32
R34,R34
R35,R35
R36,R36
R39,R39
R40,R40
R41,R41
R42,R42
R43,R43
R44,R44
R45,R45
D25,D25
D26,D26
D27,D27
D28,D28
D29,D29
D30,D30
D31,D31
D32,D32
D33,D33
D34,D34
D35,D35
D37,D37
D38,D38
D39,D39
D40,D40
D41,D41
D42,D42
D43,D43
B12,B12
B13,B13
B14,B14
B15,B15
B17,B17
B18,B18
B19,B19
B20,B20
B21,B21
B22,B22
B23,B23
N02,N02
N03,N03
N05,N05
N06,N06
N07,N07
N08,N08
N09,N09
N10,N10
J12,J12
J13,J13
J14,J14
J15,J15
J16,J16
J17,J17
J19,J19
J20,J20
J21,J21
J22,J22
J23,J23
J24,J24
J28,J28
J29,J29
J30,J30
J31,J31
M11,M11
M12,M12
M13,M13
M14,M14
M16,M16
M19,M19
M23,M23
M01,M01
M04,M04
M05,M05
M06,M06
M09,M09
M10,M10
L05,L05
L06,L06
L08,L08
L11,L11
L12,L12
L13,L13
L14,L14
L15,L15
L16,L16
L19,L19
L20,L20
L21,L21
L24,L24
L25,L25
L26,L26
L27,L27
L28,L28
L29,L29
S03,S03
A02,A02
A03,A03
A05,A05
A06,A06
A07,A07
A10,A10
A11,A11
A12,A12_D13
D13,A12_D13
A14,A14
A15,A15
A16,A16
A17,A17
A18,A18
A19,A19
A20,A20
A21,A21
A22,A22
A25,A25
A28,A28
A30,A30
A32,A32_D20
D20,A32_D20
A33,A33
A34,A34
A40,A40
A42,A42
A43,A43
A44,A44
A46,A46
A47,A47
A48,A48
A49,A49
A50,A50
A52,A52
A53,A53
A54,A54
A55,A55
A57,A57
A59,A59
A60,A60
A61,A61
A63,A63
A64,A64
A65,A65
H01,H01
H02,H02
H03,H03
H04,H04
H12,H12
H13,H13
H14,H14
H15,H15
H06,H06
H07,H07
H08,H08
H09,H09
H10,H10
H11,H11
D01,D01
D03,D03
D04,D04
D05,D05
D06,D06
D07,D07
D08,D08
D09,D09
D10,D10
D12,D12
B04,B04
B06,B06
B08,B08
B10,B10
D15,D15
D18,D18
D22,D22
F14,F14
F16,F16
F18,F18
F20,F20
F21,F21
F22,F22
F24,F24
F25,F25
F26,F26
F27,F27
F29,F29
F30,F30
F31,F31
F32,F32
F33,F33
F34,F34
F35,F35
F36,F36
F38,F38
F39,F39
F01,F01
F02,F02
F03,F03
F04,F04
F05,F05
F06,F06
F07,F07
G08,G08
G09,G09
G10,G10
G11,G11
G12,G12
G13,G13
G15,G15
G16,G16
G18,G18
G19,G19
G20,G20
G21,G21
F12,F12
D14,D14
G05,G05
G06,G06
G07,G07
G24,G24
G26,G26
G28,G28
G30,G30
G31,G31
G32,G32
G33,G33
G34,G34
G35,G35
G36,G36
101,101
103,103
104,104
106,106
107,107
108,108
109,109
110,110
111,111
113,113
114,114
115,115
116,116
117,117
118,118
119,119
120,120
121,121
122,122
123,123
124,124
126,126
128,128
129,129
130,130
131,131
133,133
134,134
135,135
136,136
137,137
138,138
139,139
230,230
231,231
233,233
234,234
236,236
237,237
238,238
248,248
249,249
250,250
251,251
252,252
253,253
254,254
255,255
256,256
257,257
241,241
242,242
243,243
244,244
245,245
246,246
247,247
601,601
602,602
603,603
604,604
606,606
607,607
608,608
609,609
610,610
611,611
612,612
613,613
614,614
615,615
616,616
617,617
618,618
619,619
401,401
402,402
405,405
406,406
407,407
408,408
409,409
410,410
411,411
412,412
413,413
416,416
621,621
622,622
623,623
624,624
625,625
626,626
627,627
628,628
632,632
633,633
634,634
636,636
638,638
419,419
420,420
201,201
204,204
205,205
206,206
207,207
208,208
209,209
210,210
211,211
212,212
213,213
214,214
215,215
216,216
217,217
218,218
219,219
220,220
221,221
301,301
302,302
224,224
225,225
226,226
227,227
501,501
502,502
503,503
504,504
505,505
701,701
702,702
705,705
706,706
707,707
708,708
709,709
711,711
712,712
713,713
714,714
715,715
716,716
718,718_R09
R09,718_R09
720,720
721,721
726,726
Q05,Q05
Q04,Q04
Q03,Q03
S31,S31
S30,S30
S29,S29
S28,S28
S27,S27
S26,S26
S25,S25
S24,S24
S23,S23
S22,S22
S21,S21
S20,S20
S19,S19
S18,S18
S17,S17
S16,S16
S15,S15
S14,S14
S13,S13
S09,S09
S11,S11
132,132_D19_L02
D19,132_D19_L02
L02,132_D19_L02
635,635_L03_R20
L03,635_L03_R20
R20,635_L03_R20
222,222_415
415,222_415
414,414_D11
D11,414_D11
112,112_A09
A09,112_A09
719,719_F09_G22
F09,719_F09_G22
G22,719_F09_G22
D17,D17_R17
R17,D17_R17
F23,F23_R33
R33,F23_R33
724,724_D16
D16,724_D16
631,631_723_901
723,631_723_901
901,631_723_901
127,127_725_902_A27_R16
725,127_725_902_A27_R16
902,127_725_902_A27_R16
A27,127_725_902_A27_R16
R16,127_725_902_A27_R16
630,630_F11
F11,630_F11
629,629_R11
R11,629_R11
125,125_A24
A24,125_A24
B16,B16_N04
N04,B16_N04
710,710_G14
G14,710_G14
235,235_D24_R31
D24,235_D24_R31
R31,235_D24_R31
A31,A31_L01
L01,A31_L01
637,637_D21
D21,637_D21
232,232_423_R28
423,232_423_R28
R28,232_423_R28
A51,A51_J27_L22
J27,A51_J27_L22
L22,A51_J27_L22
640,640_M21
M21,640_M21
639,639_M20_Q01_R23
M20,639_M20_Q01_R23
Q01,639_M20_Q01_R23
R23,639_M20_Q01_R23
228,228_A36_E01_R25
A36,228_A36_E01_R25
E01,228_A36_E01_R25
R25,228_A36_E01_R25
F15,F15_M18
M18,F15_M18
239,239_S04
S04,239_S04
A45,A45_S01
S01,A45_S01
229,229_418_A38_M22
418,229_418_A38_M22
A38,229_418_A38_M22
M22,229_418_A38_M22
G29,G29_L10
L10,G29_L10
L17,L17_M08
M08,L17_M08
142,142_R27
R27,142_R27
A41,A41_R29
R29,A41_R29
