composite_gtfs_stops_id,next_composite_gtfs_stops_id,route,direction,mean_seconds_in_transit
204,201,2,N,102.03703703703704
204,205,2,S,90.0
204,205,5,S,90.0
204,232_423_R28,5,N,82208.57142857143
204,250,5,N,81470.0
204,420,5,N,82455.0
205,204,2,N,196.2962962962963
205,204,5,N,90.0
205,206,2,S,90.0
205,206,5,S,90.0
206,205,2,N,90.0
206,205,5,N,90.0
206,207,2,S,63.148148148148145
206,207,5,S,90.0
207,206,2,N,70.74074074074075
207,206,5,N,90.0
207,208,2,S,104.07407407407408
207,208,5,S,110.0
208,207,2,N,97.77777777777777
208,207,5,N,107.5
208,209,2,S,105.92592592592592
208,209,5,S,100.0
208,420,5,N,83290.0
209,208,2,N,108.88888888888889
209,208,5,N,107.5
209,210,2,S,90.0
209,210,5,S,90.0
210,209,2,N,90.0
210,209,5,N,90.0
210,211,2,S,120.0
210,211,5,S,140.0
211,210,2,N,120.0
211,210,5,N,137.5
211,212,2,S,137.22222222222223
211,212,5,S,150.0
212,211,2,N,138.5185185185185
212,211,5,N,145.0
212,213,2,S,125.55555555555556
212,213,5,S,167.5
213,208,5,N,480.0
213,212,2,N,120.0
213,212,5,N,125.0
213,214,2,S,104.62962962962963
213,214,5,S,107.71428571428571
213,221,5,S,753.6363636363636
213,232_423_R28,5,N,83284.95145631068
213,250,5,N,82444.28571428571
213,257,5,N,81720.0
213,420,5,N,83689.09090909091
213,501,5,S,85740.0
213,505,5,N,208.84615384615384
214,213,2,N,112.03703703703704
214,213,5,N,106.12903225806451
214,215,2,S,122.4074074074074
214,215,5,S,120.57142857142857
215,214,2,N,120.0
215,214,5,N,120.0
215,216,2,S,152.03703703703704
215,216,5,S,150.57142857142858
216,215,2,N,144.25925925925927
216,215,5,N,149.3548387096774
216,217,2,S,92.77777777777777
216,217,5,S,90.57142857142857
217,216,2,N,97.96296296296296
217,216,5,N,90.64516129032258
217,218,2,S,71.85185185185185
217,218,5,S,71.42857142857143
218,217,2,N,72.03703703703704
218,217,5,N,71.93548387096774
218,219,2,S,89.62962962962963
218,219,5,S,90.28571428571429
219,218,2,N,82.03703703703704
219,218,5,N,89.35483870967742
219,220,2,S,99.81481481481481
219,220,5,S,101.14285714285714
220,219,2,N,99.81481481481481
220,219,5,N,100.3225806451613
220,221,2,S,145.74074074074073
220,221,5,S,138.85714285714286
221,213,5,N,722.0
221,220,2,N,142.40740740740742
221,220,5,N,139.03225806451613
221,222_415,2,S,162.40740740740742
221,222_415,5,S,167.82608695652175
222_415,221,2,N,134.8148148148148
222_415,221,5,N,127.3913043478261
222_415,224,2,S,232.40740740740742
222_415,234,5,S,2347.8688524590166
222_415,414_D11,4,N,155.1891891891892
222_415,416,4,S,120.37974683544304
222_415,416,5,S,245.625
222_415,621,4,S,482.22222222222223
224,222_415,2,N,221.4814814814815
224,225,2,S,109.81481481481481
224,225,3,S,109.9342105263158
224,257,3,N,82553.25581395348
224,302,3,N,345.6521739130435
225,224,2,N,118.33333333333333
225,224,3,N,130.26315789473685
225,226,2,S,90.0
225,226,3,S,90.0
226,225,2,N,90.0
226,225,3,N,90.0
226,227,2,S,60.0
226,227,3,S,60.0
227,226,2,N,60.0
227,226,3,N,60.0
227,228_A36_E01_R25,2,S,1348.3333333333333
227,228_A36_E01_R25,3,S,1311.1627906976744
227,301,3,S,85920.0
228_A36_E01_R25,227,2,N,1326.4814814814815
228_A36_E01_R25,227,3,N,1282.5581395348838
228_A36_E01_R25,229_418_A38_M22,2,S,125.92592592592592
228_A36_E01_R25,229_418_A38_M22,3,S,121.3953488372093
228_A36_E01_R25,229_418_A38_M22,A,S,120.0
228_A36_E01_R25,229_418_A38_M22,C,S,120.0
228_A36_E01_R25,A34,A,N,90.52941176470588
228_A36_E01_R25,A34,C,N,90.0
228_A36_E01_R25,F01,E,S,83391.42857142857
228_A36_E01_R25,F12,E,N,1070.341463414634
228_A36_E01_R25,R24,N,N,115.30434782608695
228_A36_E01_R25,R24,R,N,119.08396946564885
228_A36_E01_R25,R26,N,S,90.0
228_A36_E01_R25,R26,R,S,90.0
229_418_A38_M22,228_A36_E01_R25,2,N,146.66666666666666
229_418_A38_M22,228_A36_E01_R25,3,N,145.8139534883721
229_418_A38_M22,228_A36_E01_R25,A,N,121.58823529411765
229_418_A38_M22,228_A36_E01_R25,C,N,130.27027027027026
229_418_A38_M22,230,2,S,84.07407407407408
229_418_A38_M22,230,3,S,88.6046511627907
229_418_A38_M22,419,4,S,88.54054054054055
229_418_A38_M22,419,5,S,90.65217391304348
229_418_A38_M22,640_M21,4,N,120.16216216216216
229_418_A38_M22,640_M21,5,N,120.0
229_418_A38_M22,640_M21,J,N,92.3913043478261
229_418_A38_M22,A40,A,S,186.7058823529412
229_418_A38_M22,A40,C,S,185.40540540540542
229_418_A38_M22,M23,J,S,92.3913043478261
230,229_418_A38_M22,2,N,65.37037037037037
230,229_418_A38_M22,3,N,66.74418604651163
230,231,2,S,270.0
230,231,3,S,270.0
231,230,2,N,208.5185185185185
231,230,3,N,208.37209302325581
231,232_423_R28,2,S,68.33333333333333
231,232_423_R28,3,S,69.76744186046511
232_423_R28,142_R27,N,N,216.25
232_423_R28,142_R27,R,N,278.1456953642384
232_423_R28,231,2,N,112.77777777777777
232_423_R28,231,3,N,116.97674418604652
232_423_R28,233,2,S,90.0
232_423_R28,233,3,S,90.0
232_423_R28,420,4,N,304.2857142857143
232_423_R28,420,5,N,305.40983606557376
232_423_R28,501,5,S,82443.42857142857
232_423_R28,622,4,S,84210.0
232_423_R28,A41_R29,N,S,120.0
232_423_R28,A41_R29,R,S,120.8
233,232_423_R28,2,N,90.0
233,232_423_R28,3,N,90.0
233,234,2,S,70.55555555555556
233,234,3,S,60.93023255813954
234,222_415,5,N,2271.1475409836066
234,233,2,N,90.0
234,233,3,N,90.0
234,235_D24_R31,2,S,90.18518518518519
234,235_D24_R31,3,S,90.23255813953489
234,235_D24_R31,4,S,90.0
234,235_D24_R31,5,S,90.0
234,250,4,N,85769.79865771811
234,257,4,N,84837.27272727272
235_D24_R31,234,2,N,90.18518518518519
235_D24_R31,234,3,N,90.0
235_D24_R31,234,4,N,99.89010989010988
235_D24_R31,234,5,N,90.24590163934427
235_D24_R31,236,2,S,79.25925925925925
235_D24_R31,236,3,S,83.25581395348837
235_D24_R31,236,4,S,60.0
235_D24_R31,239_S04,4,S,255.91836734693877
235_D24_R31,239_S04,5,S,261.1475409836066
235_D24_R31,B08,N,N,1575.0
235_D24_R31,B08,R,N,2190.0
235_D24_R31,D01,D,N,3585.0
235_D24_R31,D25,B,S,127.04081632653062
235_D24_R31,D25,Q,S,132.15189873417722
235_D24_R31,G21,R,N,2749.6153846153848
235_D24_R31,N10,N,N,84737.48201438849
235_D24_R31,R30,B,N,147.85714285714286
235_D24_R31,R30,Q,N,158.40764331210192
235_D24_R31,R32,D,S,120.0
235_D24_R31,R32,N,S,120.0
235_D24_R31,R32,R,S,120.0
235_D24_R31,R36,D,S,365.8878504672897
235_D24_R31,R36,N,S,364.6551724137931
235_D24_R31,R41,R,N,85554.0
236,235_D24_R31,2,N,90.0
236,235_D24_R31,3,N,90.0
236,235_D24_R31,4,N,90.0
236,237,2,S,120.0
236,237,3,S,120.0
236,237,4,S,120.0
237,236,2,N,120.0
237,236,3,N,120.0
237,236,4,N,120.0
237,238,2,S,102.77777777777777
237,238,3,S,98.83720930232558
237,238,4,S,120.0
238,237,2,N,95.18518518518519
238,237,3,N,91.62790697674419
238,237,4,N,114.64285714285714
238,239_S04,2,S,118.14814814814815
238,239_S04,3,S,130.0
238,239_S04,4,S,90.0
239_S04,235_D24_R31,4,N,308.3766233766234
239_S04,235_D24_R31,5,N,309.0983606557377
239_S04,238,2,N,120.0
239_S04,238,3,N,120.0
239_S04,238,4,N,120.0
239_S04,241,2,S,175.22292993630575
239_S04,241,5,S,180.83333333333334
239_S04,248,2,S,90.0
239_S04,248,3,S,90.0
239_S04,248,4,S,90.0
239_S04,250,4,S,279.18367346938777
239_S04,250,5,S,261.42857142857144
239_S04,S03,FS,N,120.0
241,239_S04,2,N,187.8846153846154
241,239_S04,5,N,186.0
241,242,2,S,90.0
241,242,5,S,90.0
242,241,2,N,89.03846153846153
242,241,5,N,92.18181818181819
242,243,2,S,91.91082802547771
242,243,5,S,92.77777777777777
243,242,2,N,98.46153846153847
243,242,5,N,101.18181818181819
243,244,2,S,251.27388535031847
243,244,5,S,195.55555555555554
244,243,2,N,94.23076923076923
244,243,5,N,95.45454545454545
244,245,2,S,90.0
244,245,5,S,90.0
245,244,2,N,123.26923076923077
245,244,5,N,126.81818181818181
245,246,2,S,90.0
245,246,5,S,90.0
246,245,2,N,84.23076923076923
246,245,5,N,81.27272727272727
246,247,2,S,120.0
246,247,5,S,120.0
247,246,2,N,120.0
247,246,5,N,120.0
247,416,5,S,83056.11111111111
248,232_423_R28,4,N,765.0
248,232_423_R28,5,N,570.0
248,249,2,S,120.0
248,249,3,S,118.6046511627907
248,249,4,S,101.14285714285714
248,302,3,N,3138.3720930232557
249,248,2,N,140.0
249,248,3,N,130.0
249,248,4,N,120.0
249,248,5,N,120.0
249,250,2,S,228.0
249,250,3,S,200.0
249,250,4,S,432.0
250,232_423_R28,4,N,733.2236842105264
250,232_423_R28,5,N,782.7272727272727
250,249,2,N,160.0
250,249,3,N,142.32558139534885
250,249,4,N,120.0
250,249,5,N,120.0
250,251,2,S,150.0
250,251,3,S,150.0
250,251,4,S,150.0
250,401,4,S,82199.55555555556
250,405,4,S,82290.0
250,406,4,S,82440.0
250,416,5,S,83597.14285714286
251,250,2,N,165.0
251,250,3,N,154.65116279069767
251,250,4,N,158.1818181818182
251,250,5,N,240.0
251,252,2,S,114.0
251,252,3,S,114.4186046511628
251,252,4,S,93.52941176470588
252,251,2,N,110.0
252,251,3,N,97.20930232558139
252,251,4,N,95.45454545454545
252,251,5,N,120.0
252,253,2,S,96.0
252,253,3,S,92.55813953488372
252,253,4,S,116.47058823529412
253,252,2,N,100.0
